Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.5,6.4655,362.9688,0.1921
2,9.0714,6.4296,338.7188,0.3612
3,11.5714,6.2141,285.0,0.5797
4,12.3393,7.0043,227.9062,0.7954
5,13.375,6.681,263.8438,0.9905
6,13.9107,6.5733,213.4688,1.2528
7,14.3571,6.3578,263.7812,1.4241
8,14.7857,6.5374,223.875,1.6188
9,15.125,6.6092,177.5938,1.8822
10,15.5268,6.6451,211.2812,2.2567
11,15.8393,6.4296,212.9062,2.4725
12,15.9196,6.717,211.625,2.6906
13,16.0089,6.8966,177.5625,2.9364
14,16.4554,7.0043,216.0,3.1366
15,16.4018,6.6451,222.2188,3.3071
16,16.3036,6.8966,206.7188,3.5605
17,16.7054,6.8966,204.4688,3.8165
18,16.4732,7.0761,188.0938,4.0091
19,16.7679,6.5374,188.0312,4.2023
20,16.8393,6.9684,223.4375,4.4188
21,16.9464,7.148,182.6562,4.593
22,17.0536,7.1121,197.6562,4.7615
23,17.0,7.0402,182.0938,5.0482
24,16.875,7.148,169.1562,5.2225
25,17.0446,6.9684,172.5,5.5035
26,17.5268,7.0043,145.9062,5.766
27,17.0268,6.8966,167.875,6.0276
28,17.3214,6.8606,184.5312,6.2165
29,17.25,6.8966,173.2188,6.3913
30,17.1607,6.8606,190.75,6.6222
31,17.3036,7.2557,180.875,6.8122
32,17.4821,7.0043,157.0,6.989
33,17.4286,7.148,195.5625,7.1656
34,17.2232,6.8966,195.25,7.4371
35,17.4821,6.8966,178.3438,7.7406
36,17.4107,6.8966,202.5938,7.962
37,17.4911,7.0402,176.4375,8.2004
38,17.4821,7.148,178.5312,8.4458
39,17.7946,6.8606,158.3125,8.6215
40,17.5804,7.0043,162.8438,8.7858
41,17.5179,7.0402,162.0312,8.9939
42,17.6964,6.9325,168.8438,9.1885
43,17.6339,7.0402,178.4375,9.3538
44,17.4911,7.2557,132.4062,9.5598
45,17.4911,7.0402,168.625,9.7082
46,17.6964,6.9325,156.1875,9.8872
47,17.5179,7.0043,169.0312,10.0993
48,17.7768,6.717,195.375,10.2885
49,17.7679,6.8606,161.75,10.4641
50,17.5714,6.8606,171.0625,10.6979
51,17.625,6.681,176.1562,10.8795
52,17.3393,6.8966,149.3125,11.108
53,17.6607,7.148,165.5,11.2938
54,17.7857,7.0043,155.1562,11.5182
55,17.8214,7.1839,180.1875,11.6871
56,17.5982,6.9325,185.6875,11.8859
57,17.7679,7.0043,198.0938,12.1481
58,17.75,6.9684,171.2188,12.3068
59,17.75,7.0402,137.9062,12.5561
60,17.6875,6.717,153.3125,12.7765
61,17.7946,6.9684,165.25,13.0096
62,17.7768,6.717,169.4062,13.3095
63,17.8214,6.9684,198.0938,13.5673
64,17.5446,7.2917,169.4688,13.8912
65,17.5089,6.8606,164.1562,14.0809
66,17.5714,6.9325,209.4375,14.2967
67,17.4107,7.1121,154.125,14.5667
68,17.4107,7.0043,204.375,14.9093
69,17.6607,6.8606,141.3125,15.1158
70,17.5982,7.0402,159.2812,15.4381
71,17.8125,6.9684,164.75,15.6564
72,17.6786,7.1121,175.5938,15.9237
73,17.6161,7.0402,211.5312,16.1195
74,17.7143,7.2198,178.9375,16.3314
75,17.8839,6.8247,204.8438,16.5228
76,17.7857,6.9684,185.3125,16.6894
77,17.5179,7.0761,164.375,16.9336
78,17.6071,6.9325,141.5625,17.2016
79,17.8661,7.1839,155.7188,17.4537
80,17.6875,6.8606,159.0938,17.6385
81,17.4107,6.8247,155.2188,17.8537
82,17.75,6.9684,156.9062,18.061
83,17.6696,6.8247,187.5625,18.3453
84,17.6071,6.8966,179.3438,18.5708
85,17.7589,7.0761,148.4062,18.7783
86,17.6518,7.0043,168.8438,18.9693
87,17.6786,6.7529,189.7188,19.2141
88,17.7321,6.9325,183.5938,19.4302
89,17.9018,6.9325,183.2188,19.6627
90,17.5714,6.9325,175.4375,19.88
91,17.7054,7.148,192.5938,20.1041
92,17.7857,7.1121,185.4688,20.3132
93,17.6161,7.0043,154.8438,20.5773
94,17.8571,6.9684,176.4688,20.7843
95,17.6696,7.148,144.0312,21.0054
96,17.7946,7.0402,158.4062,21.1935
97,17.75,6.9325,148.3125,21.4315
98,17.8036,6.8247,147.9688,21.6108
99,17.7768,7.0761,175.875,21.7978
100,17.5,6.8606,134.3125,21.984
