Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,7.0625,5.8571,542.0,0.3266
2,8.5893,5.75,292.1875,0.6178
3,10.9732,6.4286,366.0625,0.8563
4,11.8304,6.0357,219.75,1.1545
5,12.4018,6.1071,227.5625,1.5209
6,13.0446,6.25,156.3125,1.827
7,13.3214,6.2143,225.0625,2.1093
8,13.9196,6.3929,227.125,2.3816
9,14.1518,6.0714,234.0,2.6048
10,14.6518,6.25,254.25,2.9228
11,14.5893,6.1786,205.75,3.2483
12,14.9821,6.2143,227.0,3.4783
13,15.3839,6.3571,257.9375,3.7417
14,15.3304,6.5357,193.6875,4.0102
15,15.6429,6.5714,218.9375,4.3578
16,15.8839,6.75,200.6875,4.6637
17,16.2321,6.6071,188.5625,4.9079
18,16.0446,6.8214,168.8125,5.1399
19,16.4464,6.4643,193.5625,5.4132
20,16.3482,6.4643,191.0,5.7145
21,16.7857,6.7857,142.125,5.9622
22,16.5446,6.7857,177.875,6.2309
23,17.0089,6.5,188.3125,6.5583
24,17.0,6.75,225.875,6.8306
25,16.9554,7.1429,180.4375,7.186
26,17.3839,6.8571,129.875,7.503
27,17.1696,7.0357,201.5625,7.8664
28,16.9911,6.8571,193.3125,8.1287
29,17.2679,7.0357,189.625,8.3751
30,17.3214,6.8214,239.125,8.7329
31,17.3393,6.6786,150.375,8.9975
32,17.4107,6.75,121.625,9.3365
33,17.4196,6.9286,188.25,9.729
34,17.5536,7.0357,199.3125,10.0326
35,17.4464,6.8929,166.75,10.3529
36,17.7589,6.9286,128.1875,10.726
37,17.4911,6.9643,199.9375,11.0302
38,17.9732,6.9643,174.4375,11.3145
39,17.3839,6.9286,219.5625,11.5354
40,17.8393,6.8571,224.0,11.8724
41,17.4911,7.0357,163.9375,12.1509
42,17.7054,6.8571,168.8125,12.4107
43,17.4821,7.0714,166.4375,12.7005
44,17.7589,6.6071,145.6875,12.9575
45,17.9375,7.0357,171.0,13.2356
46,17.5714,6.5714,149.625,13.523
47,18.0179,7.0,141.9375,13.7956
48,17.9018,6.8214,180.5,14.0965
49,17.8482,6.6071,156.5625,14.3486
50,17.9107,6.6071,186.25,14.618
51,17.7946,7.0,149.0,15.01
52,17.8393,6.6071,190.375,15.3791
53,18.0,6.8214,172.125,15.638
54,17.6071,7.0714,171.75,15.9478
55,17.8571,6.7857,177.5,16.4253
56,17.8571,7.0357,197.875,16.7284
57,17.5982,7.2857,131.5625,17.0877
58,18.0,6.9286,187.125,17.4149
59,17.9554,6.6786,185.0625,17.7109
60,18.1875,6.8929,209.25,17.9891
61,17.8571,7.1429,205.5,18.3422
62,17.8304,6.8929,177.25,18.6751
63,18.0536,6.9286,176.0,19.0307
64,17.8661,7.1429,177.5,19.3227
65,17.9911,6.9286,160.875,19.6153
66,18.0714,6.9286,150.5625,19.9888
67,18.1696,7.0,191.125,20.3678
68,17.7143,6.9643,179.5625,20.7027
69,18.0625,6.7857,165.5625,21.0292
70,17.9196,6.9286,155.625,21.3597
71,18.125,6.7857,202.3125,21.7038
72,17.9375,6.8214,172.3125,22.0312
73,17.8036,6.6786,166.375,22.5267
74,17.9911,7.2857,151.1875,22.855
75,18.1429,7.0357,169.5,23.1483
76,18.1696,6.9643,195.75,23.4679
77,17.9821,6.8929,205.625,23.828
78,17.9018,6.7143,148.0,24.1021
79,18.1161,6.6786,184.0,24.4747
80,17.8571,6.9286,154.6875,24.8368
81,18.3214,6.9286,136.125,25.1312
82,18.0357,7.2143,124.3125,25.3834
83,17.9732,6.8571,160.5625,25.6575
84,17.9018,7.1786,118.0,25.9275
85,17.9732,7.0714,186.25,26.2028
86,17.9464,6.7143,180.4375,26.4759
87,17.9554,7.0,160.875,26.8325
88,18.2411,7.0357,227.0625,27.0814
89,17.7857,6.7857,169.25,27.4033
90,18.1964,6.9643,151.0625,27.655
91,17.9196,6.8571,177.6875,27.935
92,18.25,7.0714,173.5,28.1591
93,17.8661,6.8571,161.0,28.4229
94,18.1607,7.0,169.375,28.7411
95,17.9821,6.9286,123.25,29.007
96,18.0893,6.8571,208.4375,29.3017
97,18.0804,6.8571,150.25,29.6846
98,18.0982,6.9286,180.8125,29.9673
99,18.0089,7.2143,139.625,30.3237
100,18.1161,6.8571,142.8125,30.574
