Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.8482,6.75,522.3125,3.4822
2,8.0268,7.6429,294.5625,6.7817
3,11.0804,12.6786,228.875,10.15
4,21.1696,24.5,249.5,13.8024
5,31.0625,29.5357,222.6875,17.2262
6,36.8839,34.6429,252.25,20.2848
7,43.1071,36.2143,237.1875,23.8555
8,48.2411,38.7857,207.0625,27.0165
9,53.4554,39.9286,225.4375,30.08
10,57.8929,41.3929,238.25,33.2164
11,62.0268,41.3571,201.0625,36.5915
12,65.6875,42.3214,272.875,39.7557
13,69.8125,41.5357,266.1875,43.12
14,73.5893,42.9643,184.0625,46.3896
15,76.9643,42.3214,221.25,49.6942
16,80.7321,41.9286,220.5,52.9918
17,83.8393,40.9286,275.375,56.5296
18,86.6339,40.25,228.375,60.0444
19,89.3929,40.1429,267.375,63.2951
20,91.7411,40.2143,208.4375,66.3086
21,93.4107,40.6429,233.1875,69.4565
22,95.6518,40.3929,304.1875,72.8489
23,96.3125,40.6071,203.3125,76.3245
24,96.9196,39.3214,283.25,79.5478
25,97.8482,39.8929,192.3125,82.74
26,98.1964,39.3214,297.3125,86.0586
27,97.5446,39.5,215.375,89.273
28,98.5714,39.4286,251.0,92.8884
29,99.1518,39.4643,283.0,96.0391
30,96.7946,39.2143,165.6875,99.2676
31,98.1607,38.3571,285.8125,102.7717
32,99.6071,38.8571,287.625,106.2773
33,99.9643,39.4643,224.3125,109.3063
34,99.9911,39.2857,208.5,112.3231
35,100.0,39.3214,247.3125,115.4969
36,100.0,38.8571,230.875,118.9044
37,100.0,38.9643,174.6875,121.8513
38,99.5536,36.8214,243.0,125.0818
39,85.2143,37.9643,279.375,128.2955
40,98.4643,38.8214,363.6875,131.7449
41,99.8929,39.2143,220.3125,135.0351
42,100.0,39.3929,279.5625,138.5213
43,100.0,39.2857,242.0625,141.8538
44,100.0,39.2143,283.6875,144.9572
45,100.0,39.1786,223.3125,148.5329
46,100.0,39.2857,294.375,151.6858
47,100.0,39.0357,279.6875,155.0394
48,100.0,39.2143,293.4375,158.1673
49,100.0,39.1071,220.1875,161.1997
50,100.0,39.2143,198.8125,164.4296
