Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.3393,6.4643,420.125,6.7762
2,9.1786,9.3214,335.3125,12.0111
3,14.9196,19.5357,305.1875,16.926
4,26.7768,28.2143,211.4375,21.6311
5,35.0714,32.3214,241.3125,26.9196
6,40.875,35.5357,227.5625,31.3445
7,45.8125,37.5357,202.9375,35.4601
8,50.9107,39.8214,159.6875,39.5318
9,55.9821,40.5714,197.0625,43.7022
10,60.0714,40.75,222.0,48.001
11,64.1161,41.5,263.0,52.3069
12,68.375,42.2857,160.5625,56.588
13,72.4107,41.5,190.5,60.5025
14,76.1696,41.4643,211.8125,64.6014
15,79.6518,42.0,154.25,68.889
16,82.6696,41.5,185.125,73.2828
17,85.9911,42.3929,215.625,78.0893
18,89.1607,41.3214,208.875,82.5889
19,91.6964,41.0,254.125,87.0592
20,93.75,40.6429,196.1875,91.7386
21,94.8839,40.6429,209.875,95.9025
22,96.5804,39.8214,192.4375,100.1684
23,97.2589,40.3214,190.375,104.8716
24,97.9643,40.1786,274.3125,109.5584
25,97.9554,39.8214,276.4375,114.1358
26,98.375,40.25,214.0,118.4976
27,97.6607,39.3929,224.4375,122.5766
28,98.7143,40.1071,218.875,126.8802
29,99.3571,39.0,204.375,131.5386
30,99.4911,39.8214,196.5,135.886
31,95.5625,39.75,188.5,141.4503
32,98.1339,39.3929,191.125,146.4193
33,99.4196,39.0,184.625,151.6383
34,99.7321,38.4286,275.875,156.7548
35,99.7768,39.2857,223.375,161.9615
36,96.0089,38.6786,221.8125,166.7939
37,94.9464,38.5357,162.9375,172.0433
38,99.4107,39.7857,238.8125,176.6817
39,99.9375,39.5714,245.875,181.3672
40,100.0,40.2857,155.6875,185.6169
41,100.0,40.4643,242.4375,190.5431
42,100.0,40.3929,248.6875,194.9218
43,100.0,40.1429,213.9375,199.8734
44,100.0,40.5,234.875,205.3321
45,100.0,40.2857,233.0625,210.3258
46,100.0,40.1429,177.9375,215.5787
47,100.0,40.0357,281.5625,220.7985
48,100.0,39.75,233.875,225.5691
49,97.4911,33.1071,240.375,230.2274
50,86.8482,38.2143,207.375,235.1306
51,98.1071,39.1786,241.9375,239.8295
52,99.6696,38.6071,261.375,244.3667
53,100.0,38.7857,215.125,249.1713
54,99.9554,38.3929,276.5,253.9021
55,100.0,39.2857,249.25,258.6151
56,100.0,39.1429,234.1875,263.3084
57,100.0,39.2143,194.1875,268.2394
58,100.0,39.3214,223.1875,273.7727
59,100.0,39.4643,232.625,278.0382
60,100.0,39.2143,232.5625,282.6004
61,100.0,39.2143,184.9375,286.7544
62,100.0,39.0,211.75,291.0549
63,100.0,39.3214,266.9375,295.83
64,100.0,39.0357,180.0625,300.1161
65,100.0,39.5714,227.1875,305.2559
66,100.0,39.0714,247.875,309.525
67,100.0,39.5714,314.0625,313.7821
68,85.8661,37.9643,247.5625,319.2894
69,96.5804,38.3571,238.625,323.7052
70,99.2768,38.9286,232.25,328.3734
71,99.5893,38.5,221.375,333.1253
72,98.7054,38.2143,264.5625,337.5702
73,96.4643,38.0357,232.375,342.1183
74,97.8125,37.3214,233.0625,347.0825
75,98.5714,38.1071,246.3125,351.7084
76,98.5,37.6429,286.0625,356.1266
77,97.7768,38.0357,216.9375,360.9075
78,97.7679,37.2143,260.875,365.4622
79,98.5446,37.8571,275.375,369.886
80,99.4018,38.3571,271.5,374.5132
81,98.2321,37.7857,273.125,378.9362
82,96.9643,38.25,253.8125,383.2748
83,98.9464,39.0714,289.4375,387.6807
84,98.5357,38.4286,244.9375,391.7813
85,98.7589,38.9643,233.25,396.7051
86,98.1786,38.5714,273.8125,401.1229
87,98.0446,38.1786,284.8125,405.7729
88,98.6339,38.1071,197.625,410.2589
89,98.75,38.7857,279.0,415.8674
90,98.5982,38.8571,154.0,421.028
91,98.9911,38.6429,205.75,426.6321
92,98.4911,37.3929,251.1875,431.6447
93,97.0625,38.5714,319.125,437.0783
94,98.3214,38.25,201.125,443.1755
95,99.2589,38.3929,325.0625,448.338
96,99.2857,38.1786,255.375,453.847
97,98.5893,39.1429,277.6875,458.413
98,97.375,37.8214,175.25,463.3153
99,97.9911,37.3929,270.375,468.3529
100,99.2054,38.5714,229.5,472.478
101,99.1786,37.5,228.375,476.8187
102,98.5179,38.2857,299.875,480.9599
103,98.875,38.8214,254.8125,484.8688
104,99.1429,38.4643,193.125,489.0421
105,97.25,39.2143,268.625,492.9311
106,97.8482,37.1786,113.1875,497.6199
107,98.7054,37.0357,188.25,502.7495
108,99.1429,36.75,291.0625,507.0429
109,98.9375,37.8214,117.25,511.3939
110,99.0357,38.0357,245.8125,516.0898
111,97.4286,38.4286,241.125,521.182
112,98.5,37.9643,245.0,526.5856
113,98.8839,38.2143,239.0625,531.5049
114,98.8571,37.9286,275.1875,536.2401
115,98.7857,38.4643,224.3125,541.2744
116,98.2232,37.5,319.875,547.051
117,97.9643,38.4643,244.0,551.9201
118,98.8125,39.1429,267.6875,556.1938
119,98.8214,38.1071,282.0,560.8341
120,98.4286,38.3929,259.5,565.3144
121,98.3036,37.4643,267.1875,569.8462
122,99.4464,38.5714,277.9375,574.0569
123,98.3393,35.8214,224.0,578.5311
124,98.3482,37.7857,249.0,582.7424
125,98.5446,37.0714,331.25,587.5913
126,98.4911,37.1429,221.6875,591.6683
127,98.7054,37.4286,243.75,596.464
128,98.6518,37.1429,220.6875,601.2954
129,98.6875,37.6071,231.875,605.2278
130,99.0446,37.9286,171.75,609.2976
131,98.4018,38.1786,264.625,613.8712
132,97.9732,38.8214,229.0,619.576
133,98.7143,37.7857,227.4375,624.6296
134,98.9821,37.2857,243.5,630.0263
135,98.2411,36.8214,183.6875,635.188
136,98.4643,38.3214,254.875,639.4529
137,99.0625,37.6429,321.3125,644.4889
138,99.6161,36.8929,267.6875,649.2582
139,99.2054,37.1786,263.6875,654.0809
140,96.9018,37.1429,199.625,658.0482
141,98.25,36.4643,315.875,662.4063
142,98.8393,36.8214,212.1875,666.8349
143,99.5179,37.0357,322.6875,671.6194
144,98.9018,37.5357,216.1875,678.9985
145,97.0893,37.5714,254.8125,684.7097
146,98.8304,37.8571,236.5,691.5933
147,99.5446,37.1429,213.8125,697.7837
148,99.6161,38.0357,216.0,703.6395
149,97.8571,37.3214,279.9375,709.4373
150,97.5,37.2143,204.125,715.5023
151,99.0982,37.2857,301.5,721.5498
152,99.4911,37.3929,231.375,727.148
153,99.2321,36.75,275.625,734.6777
154,98.2321,36.7143,214.375,741.0858
155,97.7768,36.5,346.5625,747.8498
156,98.5804,37.0357,284.75,753.9228
157,99.0804,36.8571,221.0,759.7567
158,98.9911,37.0357,199.1875,766.313
159,98.4643,35.8929,214.625,773.2327
160,97.9911,36.6071,224.8125,778.077
161,98.3393,36.2857,243.0625,783.5946
162,99.4911,36.2857,242.8125,790.1777
163,99.2054,36.9643,204.375,796.7114
164,97.7589,37.0,215.8125,802.1316
165,98.4196,37.7143,268.8125,807.7435
166,98.8482,37.75,228.75,814.1384
167,99.3125,37.1786,212.1875,819.3837
168,98.875,37.3929,233.4375,825.5274
169,98.625,37.0357,278.625,831.9718
170,98.0893,38.0714,314.0625,837.2602
171,98.2054,38.2143,251.6875,843.1923
172,98.9821,37.4286,237.125,849.7357
173,99.125,37.6786,199.9375,855.719
174,99.1875,37.8929,209.3125,861.8832
