Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.5089,8.5357,577.875,3.5541
2,11.9018,18.2857,423.5625,7.0777
3,25.7589,30.8214,260.0,10.4851
4,35.6339,34.6429,223.0,13.7413
5,43.4107,39.2143,261.375,17.1585
6,51.0714,39.6786,224.5625,20.7926
7,58.5357,40.8929,216.75,24.4386
8,64.9821,39.6786,242.125,28.1174
9,70.9821,40.5357,249.875,31.4922
10,77.4286,40.3929,286.6875,35.3372
11,80.7589,39.9643,235.0625,38.8619
12,85.0,40.0714,351.625,42.2354
13,88.7411,38.2857,299.4375,45.5543
14,90.5179,38.8214,278.9375,48.9672
15,91.9464,38.0357,258.0625,52.2375
16,92.8661,37.8214,292.5,55.8719
17,93.1071,39.0357,231.875,59.1344
18,94.3304,38.8571,231.625,62.3756
19,93.4464,37.8571,291.125,65.7477
20,93.4821,37.9643,189.5,69.1954
21,94.8839,37.9286,251.9375,72.8064
22,94.5982,38.1071,243.75,76.2671
23,95.0893,38.5714,332.75,79.8254
24,94.0446,37.7143,231.25,83.2398
25,94.5179,37.3929,266.25,86.7681
26,95.4018,39.2143,189.8125,90.302
27,95.0804,39.6071,284.25,93.5771
28,94.0804,37.6429,302.5625,97.1125
29,94.1161,37.8929,226.5,100.521
30,95.2946,38.0714,185.8125,103.9125
31,96.1161,37.5357,297.5,107.2939
32,95.6696,36.75,256.8125,110.9813
33,92.8036,37.6786,232.4375,114.7286
34,94.4554,38.5,273.25,118.2353
35,96.6429,38.9643,238.5625,121.5201
36,95.3661,37.9643,262.8125,124.7392
37,94.3214,38.7143,244.5625,128.1788
38,95.2232,39.2857,244.625,131.5221
39,95.75,38.2143,394.6875,134.8481
40,94.5357,38.3214,238.4375,137.9233
41,93.8661,37.8571,276.5,141.1492
42,96.7232,38.1429,282.8125,144.5439
43,94.8929,36.3214,323.8125,148.1328
44,93.3214,38.3214,250.125,151.7803
45,94.7857,38.0,219.6875,155.0924
46,96.0,37.6429,282.25,158.6264
47,96.6607,37.7143,186.125,162.1102
48,94.8571,36.5,236.8125,165.4004
49,93.3482,37.25,176.9375,168.8542
50,94.9107,37.5714,350.3125,172.0524
51,95.7768,37.8214,350.6875,175.7758
52,95.2411,38.2143,350.0,179.3363
53,95.7768,38.5,283.0625,182.9131
54,95.0,38.0714,192.3125,186.1591
55,94.7143,37.75,262.5,189.3789
56,94.9464,38.0357,252.4375,192.7281
57,95.9732,38.1071,318.8125,196.1446
