Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.7946,5.7112,577.5,1.4152
2,7.1964,6.6092,536.9062,2.4824
3,9.0,9.1595,380.7188,3.6198
4,10.9643,10.2011,346.7188,4.6518
5,13.4375,15.2658,275.5625,5.7252
6,18.8125,21.2284,286.8125,6.8772
7,27.0625,26.5086,191.3438,7.9001
8,34.0089,30.2802,222.8438,9.2175
9,39.9821,33.9799,233.875,10.1621
10,45.6786,37.2126,261.875,11.2621
11,51.1161,37.1767,205.5938,12.5279
12,56.5536,39.3678,233.2188,14.0107
13,61.1696,40.625,242.3438,15.1318
14,65.5179,40.2299,253.2188,16.2751
15,69.8571,40.0862,233.1875,17.1813
16,72.9464,40.158,196.4375,18.2911
17,76.625,39.4397,266.3125,19.3842
18,79.9286,40.9124,295.8438,20.4027
19,83.2768,39.5115,231.0938,21.6812
20,85.2679,39.1523,248.2812,22.9427
21,87.8304,40.8046,264.5312,24.032
22,90.3929,38.9727,224.125,25.1843
23,91.7411,39.6911,281.4375,26.2765
24,93.1786,39.4756,280.6875,28.0334
25,94.6161,38.9727,263.0625,30.0631
26,94.3214,38.9009,307.6875,32.1183
27,95.3393,38.4698,275.7812,34.0355
28,95.4643,38.7931,274.6875,35.1259
29,96.8125,39.296,339.5,36.5995
30,96.9286,38.9009,272.0312,37.9391
31,97.0179,38.0388,304.0,39.1294
32,96.4018,38.398,228.4688,40.4404
33,95.8571,38.9727,276.7188,41.7761
34,97.0089,38.9368,205.5938,43.0593
35,98.4821,38.4339,294.4688,44.2133
36,99.5893,39.3319,252.7188,45.3337
37,99.8571,38.5057,294.0625,46.5214
38,99.9375,38.7213,328.7812,47.9398
39,99.9821,39.0086,220.875,49.0201
40,100.0,38.9009,327.9062,50.1003
41,100.0,38.3261,249.6875,51.4124
42,100.0,38.0747,261.2188,52.8649
43,99.9911,38.0747,211.6875,54.3382
44,99.9911,38.1106,266.375,55.8377
45,79.0179,38.3621,322.4375,57.2451
46,91.9821,37.8592,287.875,58.731
47,98.2321,37.7874,250.0938,60.2244
48,99.6875,38.7572,337.0,61.6743
49,99.9911,38.398,256.2812,63.221
50,99.9911,38.4339,281.125,64.7533
51,100.0,38.3261,290.9688,66.2722
52,100.0,38.7572,270.0625,67.6002
53,100.0,38.4339,235.5312,68.8565
54,100.0,38.5417,234.0625,70.1427
55,100.0,38.7213,288.125,71.3548
56,100.0,38.4698,286.1562,72.6001
57,100.0,38.5776,298.8438,74.0348
58,100.0,38.3261,340.375,75.5855
59,100.0,38.5417,292.75,77.1332
60,100.0,38.5417,201.2812,78.9551
61,93.8571,35.704,253.0,80.1083
62,79.2857,38.398,258.6562,81.2026
63,95.3125,38.6135,267.25,82.3087
64,99.2232,38.3621,239.25,83.6109
65,99.8839,38.829,313.4375,84.7323
66,99.9911,38.5776,307.2812,85.8655
67,100.0,38.6135,295.375,86.9247
68,100.0,38.5057,264.2188,88.1053
69,100.0,38.2902,278.1562,89.1408
70,100.0,38.1466,302.9062,90.4017
71,100.0,37.8592,316.875,91.7982
72,100.0,38.0747,310.2188,93.0168
73,100.0,38.1825,249.875,94.0187
74,100.0,38.2543,341.8125,94.9709
75,100.0,38.2543,286.9688,96.2456
76,100.0,38.0747,301.9375,97.3333
