Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,7.0536,5.352,592.9375,1.2134
2,6.9554,5.6753,545.125,2.3831
3,6.5446,5.0287,450.3125,3.6508
4,6.8661,6.1063,462.6562,4.8727
5,7.3214,6.8606,500.5312,6.0496
6,8.5714,6.4655,558.4062,7.1854
7,9.1429,7.7586,496.375,8.4381
8,10.9018,9.2672,474.7812,9.51
9,12.5625,10.0934,421.375,10.8477
10,13.5893,11.7098,535.4688,12.2656
11,15.1964,13.2543,380.6875,13.4583
12,16.8482,14.8707,371.5,14.5765
13,18.9286,15.4454,411.9062,15.5757
14,20.1964,18.1753,380.125,16.6753
15,21.9018,17.6006,319.7188,18.0429
16,23.5446,21.1925,308.0312,19.4134
17,25.5179,22.5216,303.0938,20.8037
18,27.2946,22.8448,302.1875,22.0135
19,28.8661,23.9224,247.5938,23.4091
20,32.3482,24.4612,238.2188,24.7485
21,33.8839,27.3348,282.2812,26.1022
22,36.375,28.2328,284.7188,27.1276
23,39.9375,28.8793,332.4375,28.462
24,42.3125,30.7112,262.125,29.7552
25,44.3661,33.0819,255.2188,30.774
26,47.4286,32.579,270.4062,31.9734
27,49.6339,34.1236,278.25,33.4652
28,52.5714,35.2371,270.2812,34.5159
29,55.4107,36.0991,286.8125,35.9877
30,57.7857,36.2787,261.5938,37.0713
31,59.9821,37.069,252.6875,38.4236
32,62.6607,36.8534,356.8438,39.6061
33,64.5,38.1825,271.3438,40.5945
34,67.1429,37.967,265.6875,41.6363
35,68.7589,38.0388,298.9375,42.8187
36,69.9464,37.7155,281.3125,43.8275
37,72.0536,38.5417,305.1875,45.2061
38,73.3214,37.5359,268.25,46.563
39,74.2768,38.6853,309.3438,47.6957
40,76.5089,37.5359,304.3438,49.0962
41,77.5,37.2126,277.5,50.4127
42,78.125,38.2902,325.9375,51.9481
43,78.7768,39.1164,298.0625,53.2373
44,80.5714,37.967,321.3438,54.5513
45,81.4375,38.4698,222.375,55.8867
46,82.0893,38.6494,308.2188,56.9133
47,82.9554,38.1466,305.6562,57.9771
48,83.6696,38.7213,304.375,58.9249
49,84.4911,39.6552,317.4062,59.9598
50,85.8393,39.4037,394.0,60.9591
51,85.2589,38.398,269.0,61.9897
52,85.8571,39.6193,245.2812,62.9758
53,87.2679,38.3621,323.4375,64.0963
54,86.6786,38.8649,250.0938,65.2058
55,87.5446,39.0445,341.9375,66.127
56,87.5804,39.1164,296.5625,67.1692
57,88.1429,38.4698,276.4688,68.2488
58,88.25,39.0445,285.2188,69.2643
59,89.1071,38.7213,261.9062,70.3109
60,88.875,38.9727,296.875,71.2455
61,89.4286,38.398,263.7188,72.219
62,89.0893,38.6135,329.4688,73.1789
63,89.9107,39.0805,363.3125,74.2069
64,90.6429,38.9009,264.125,75.2326
65,90.5357,39.3678,297.4688,76.5067
66,89.75,38.9727,307.5,77.5024
67,91.0179,39.7629,259.3438,78.5162
68,91.1607,39.5115,288.4688,79.5383
69,91.0982,39.727,286.2188,80.4849
70,90.8304,39.296,268.375,81.512
71,91.0714,39.4756,260.625,82.5246
72,91.8929,38.8649,283.4375,83.5694
73,91.5536,39.4037,318.875,84.5677
74,91.3929,39.3319,278.4375,85.6584
75,91.9375,40.1221,231.3125,86.6882
76,91.9911,39.2241,302.25,87.692
77,92.0982,39.8707,337.7188,88.6634
78,92.4196,39.1882,391.5938,89.6109
79,92.5357,39.296,317.3438,90.731
80,92.5446,39.9066,264.9375,91.8847
81,92.8661,39.0445,309.5938,93.3325
82,92.5,39.3678,361.3125,94.9018
83,93.1518,40.5172,267.9375,96.0485
84,93.4554,39.1882,263.9688,97.5598
85,92.8661,39.9784,261.9688,98.9133
86,92.7946,39.296,270.6875,100.5245
87,92.6161,40.3017,265.0312,101.8625
88,93.4018,38.9368,359.5938,103.0977
89,93.375,38.9727,329.875,103.9632
90,93.6161,40.0862,258.9062,104.8559
91,93.4911,39.1882,322.5,106.0922
92,93.4554,38.7572,284.4375,107.3084
93,93.4286,39.2241,320.1875,108.4795
94,93.4286,39.6552,256.75,109.4265
95,93.5536,38.1825,286.8438,110.3797
96,93.6696,38.3261,298.75,111.3227
97,93.8929,39.0086,245.8438,112.2323
98,94.1607,39.6911,282.25,113.2566
99,93.8839,39.4037,330.75,114.226
100,94.0536,39.9425,275.4062,115.1904
101,94.4732,39.1882,280.9688,116.2147
102,94.1161,40.0862,291.5,117.5321
103,93.9554,39.4397,222.625,118.8722
104,93.9375,39.5833,252.4062,119.7463
105,94.7589,38.6853,240.7188,120.6748
106,94.2232,39.4756,316.4062,121.5407
107,94.3571,39.3678,282.375,122.4051
108,94.1161,39.4037,308.0938,123.7662
109,94.3125,39.296,313.9062,124.6497
110,94.1161,39.4037,246.5,125.5142
111,94.4286,39.3678,328.3438,126.7294
112,93.8482,38.3261,372.9375,127.7253
113,94.4375,39.4037,264.0938,128.5888
114,94.5625,39.1523,310.1875,129.4927
115,94.6875,39.1523,270.9688,130.4261
116,93.9375,39.296,315.0312,131.3638
117,94.7857,39.2241,301.5938,132.22
118,94.3929,38.8649,213.4688,133.6747
119,94.5893,39.296,329.7188,134.5074
120,94.2054,39.9784,319.0625,135.9689
121,94.4643,39.6911,227.7188,136.9555
122,95.0804,39.4756,242.625,137.8742
123,94.7411,39.2241,303.3125,138.7015
124,94.6339,40.0144,318.25,139.6448
125,94.8125,39.6911,344.75,140.544
126,94.6071,39.6911,240.875,141.4799
127,94.7857,38.9727,292.0625,142.8483
128,95.2857,39.3319,262.8438,144.0244
129,94.7321,40.4454,284.2188,144.8243
130,94.8125,38.829,278.6562,145.753
131,94.9375,39.296,301.9375,146.6943
132,94.8571,39.3678,308.4688,147.5977
133,94.9732,39.3678,219.6875,148.4732
134,95.1786,39.4397,316.4062,149.3336
135,94.8036,40.3376,314.125,150.5718
136,95.4732,39.9784,277.4688,151.4491
137,95.125,39.7629,275.7188,152.295
138,95.3393,39.8348,340.375,153.2144
139,95.2411,39.4037,228.5625,154.0412
140,95.4554,40.2299,254.875,154.8837
141,94.8304,39.3319,279.9688,155.7015
142,94.6696,39.3678,271.2188,156.4842
143,95.1964,40.158,275.2812,157.31
144,95.4286,40.0503,249.5,158.1737
145,95.7589,39.4037,231.1562,159.0086
146,95.1607,39.727,345.1875,159.843
147,95.5268,39.4756,222.4375,160.6912
148,95.1964,39.7629,287.1562,161.4743
149,95.1875,39.6193,257.875,162.2645
150,95.4375,40.4813,328.9062,163.0725
151,94.9464,39.6193,336.25,163.8956
152,95.4107,39.5474,236.0625,164.7766
153,95.5357,39.9425,257.8125,165.8189
154,95.4107,39.0086,273.5,166.828
155,95.2054,39.2601,255.8438,167.6655
156,95.2143,40.0862,248.6562,168.5895
157,95.4375,40.0144,276.0312,169.4094
158,95.0268,39.1882,246.6875,170.2464
159,95.5268,40.2299,254.4062,171.2545
160,96.0625,39.9425,248.0938,172.0981
161,95.3571,38.9368,335.2188,172.9938
162,95.5804,39.7629,266.0625,173.8271
163,95.0446,40.1221,259.25,174.6483
164,95.3571,38.9009,251.6562,175.6354
165,95.4286,39.8707,243.9062,176.4888
166,95.3214,40.3017,218.2812,177.3102
167,96.2321,40.5532,260.125,178.125
168,95.6875,40.8405,299.75,178.9451
169,95.6607,39.9425,298.0625,179.8914
170,95.5357,39.3678,314.3125,180.8866
171,95.6429,40.5891,253.625,181.871
172,95.1964,39.3678,311.0,182.691
173,95.4643,39.4037,245.5,183.5507
174,95.7321,41.0201,243.0938,184.3842
175,95.9375,39.5833,341.75,185.1846
176,95.4643,40.0503,273.1562,185.9866
177,95.9375,40.3376,352.0312,186.779
178,95.3929,39.9784,280.375,187.6133
179,95.7232,40.2658,272.75,188.4714
180,95.75,39.5115,285.9062,189.2825
181,95.6964,40.625,249.75,190.0931
182,95.6786,41.4511,299.5,190.937
183,95.5625,39.4037,302.5938,191.7751
184,95.4375,40.5172,279.2812,192.6176
185,96.0804,40.8764,234.0,193.485
186,96.2143,40.0503,290.875,194.3846
187,95.9821,39.0445,342.7188,195.1826
188,95.375,40.625,299.6875,195.9827
189,96.0,40.3736,328.0938,197.0521
190,95.6786,40.3017,302.3438,198.0199
191,96.0268,39.727,277.9375,198.8452
192,95.9018,40.0862,324.875,199.6536
193,95.8661,40.0503,234.7812,200.46
194,95.5179,39.8707,288.0312,201.2984
195,95.2321,40.0144,315.9375,202.1312
196,96.1339,41.1279,283.2188,203.0242
197,96.2054,39.5115,237.6562,203.837
198,95.9286,41.3075,326.3438,204.7211
199,95.8929,40.6609,296.8438,205.7761
200,95.5,40.2299,340.0625,206.5923
201,95.8661,39.9066,261.5625,207.485
202,96.5625,39.4756,314.0,208.3232
203,95.9911,40.3017,216.4062,209.1623
204,96.3482,40.4095,283.3438,209.997
205,95.8125,39.1882,285.9375,210.8586
206,95.6607,40.7687,286.4688,211.7137
207,96.2946,40.4813,292.4062,212.5751
208,96.3661,40.3017,219.7812,213.4601
209,95.9732,41.0201,239.3438,214.2921
210,95.8125,40.5532,268.5938,215.15
211,95.7589,40.4813,327.5312,215.9654
212,96.0179,39.9784,346.2812,216.7823
213,96.3036,39.9784,283.875,217.6146
214,96.1786,39.3678,355.9375,218.4698
215,95.3571,39.6552,246.8438,219.4672
216,95.9286,40.9842,260.125,220.2985
217,95.7589,40.3017,309.3125,221.1578
218,96.4107,40.3376,275.0625,222.1193
219,96.2232,40.4454,295.6875,222.9338
220,96.3929,40.4095,277.7812,223.774
221,96.1161,39.9066,264.0,224.6374
222,95.8839,40.4454,274.375,225.4493
223,96.2857,40.9124,301.5,226.3326
224,95.8393,40.6609,312.2812,227.1927
225,96.1875,40.0503,299.875,228.1639
226,96.0804,40.0144,263.2188,228.9884
