Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.8393,7.0858,651.1875,0.4511
2,7.1786,7.1584,415.6719,1.3312
3,7.6518,6.7587,431.0938,2.0794
4,8.9018,8.2122,348.6094,2.8415
5,9.0357,6.6497,327.75,3.5594
6,9.6429,7.0131,360.9844,4.3763
7,10.4107,8.3212,348.8594,5.0439
8,10.6161,8.2485,349.5156,5.7649
9,11.1875,8.4302,306.7188,6.5262
10,11.5804,8.1032,311.3594,7.2523
11,12.3571,8.8299,294.7031,7.9463
12,13.0893,9.8837,298.8125,8.6756
13,13.7321,10.0654,278.6094,9.6917
14,14.2679,9.9201,281.5625,10.3979
15,15.1964,11.2645,299.4688,11.0574
16,15.7232,11.2282,283.5938,11.8833
17,16.9107,12.2456,287.1719,12.6486
18,17.3929,13.0087,262.6406,13.43
19,17.6429,13.8808,261.4219,14.2496
20,18.5893,15.189,220.2969,15.1387
21,19.0625,14.6076,259.625,15.845
22,19.7946,15.9884,255.4219,16.5232
23,19.9911,16.4971,287.4844,17.1682
24,20.5268,16.6061,265.3594,17.9251
25,22.0804,17.4419,249.8281,18.6127
26,21.9554,17.2238,257.7344,19.2504
27,22.75,18.0233,239.375,19.9543
28,23.5268,17.8052,219.6719,20.614
29,24.3036,18.1686,290.4688,21.5316
30,24.4286,19.3677,281.5,22.3599
31,25.2946,19.077,236.0469,23.2556
32,25.1429,19.4767,243.6094,24.0282
33,26.1607,19.5131,245.9844,24.8566
34,26.0536,20.2398,253.5781,25.6296
35,26.5357,20.8939,281.9062,26.5553
36,26.9643,21.0392,280.9062,27.2348
37,27.1429,21.4026,263.3906,27.9962
38,27.4375,20.9302,212.6875,30.2616
39,27.7679,19.5494,219.9531,32.0174
40,27.875,20.8576,272.4531,33.7293
41,28.2232,21.5843,249.1094,34.9748
42,29.4107,21.8387,241.5469,35.8
43,29.375,22.3837,253.8438,36.7599
44,29.3661,23.0015,266.3906,37.4971
45,30.0268,22.2747,247.1406,38.358
46,29.5714,22.311,249.9688,39.0952
47,30.6786,23.4012,253.6406,39.8277
48,30.4911,23.1831,251.6406,40.4943
49,30.2679,23.2195,232.7344,41.1178
50,30.5179,22.8561,226.9844,41.9797
51,31.3661,24.1642,284.6719,42.6021
52,31.7143,24.0552,292.125,43.2139
53,31.9018,23.2558,250.4531,43.8666
54,31.6964,24.9637,259.875,44.7054
55,32.5357,24.0916,282.7656,45.3704
56,31.9821,24.0916,248.7188,46.0489
57,32.5357,24.3096,236.1094,46.7462
58,32.8304,24.4186,241.2656,47.6842
59,32.6786,24.1642,263.125,48.4482
60,32.6071,24.8547,227.4844,49.1153
61,33.1964,23.6919,290.3906,49.781
62,33.3661,24.4913,256.1562,50.4169
63,33.6518,25.8721,226.7969,51.0498
64,33.2589,25.0727,258.4062,51.68
65,34.0714,24.782,263.8438,52.3171
66,34.6339,24.8547,258.875,53.0275
67,34.9286,25.9811,271.4062,53.7031
68,34.1161,24.9273,234.0469,54.4361
69,34.9107,25.7631,233.5312,55.1376
70,34.2857,25.5451,243.1562,55.919
71,34.9464,25.5087,313.9531,56.7453
72,35.5536,25.8721,264.25,57.6565
73,35.1339,26.0538,246.0469,58.364
74,34.8125,26.0901,246.6406,59.0683
75,35.6161,25.9811,220.5,59.7659
76,35.0625,26.6352,233.9219,60.4556
77,35.2589,26.1991,261.0312,61.1899
78,35.0536,25.6177,210.0312,61.8248
79,36.0268,26.2718,287.9375,62.5924
80,36.7143,26.7805,256.6406,63.3317
81,35.7054,27.5436,229.0781,64.1767
82,36.8036,27.4346,285.0312,64.9053
83,36.5714,27.3256,235.7969,65.6463
84,37.0446,27.0712,246.75,66.4117
85,37.4196,27.6163,265.4531,67.1482
86,37.2143,26.9622,223.7031,67.829
87,36.7857,27.5436,252.7188,68.4656
88,37.5446,28.4884,243.375,69.1707
89,38.0714,28.7427,259.25,69.8352
90,37.6161,28.0887,269.4844,70.5226
91,37.75,27.5436,221.8125,71.162
92,37.5089,28.3067,243.7344,71.8189
93,37.8214,28.5247,239.8906,72.5119
94,38.4286,28.452,249.7656,73.2724
95,38.7321,27.5436,213.2188,74.114
96,38.2857,27.689,239.0312,74.898
97,38.7946,29.1788,297.1719,75.6394
98,38.3304,27.8706,214.8281,76.382
99,38.4107,28.4157,239.4688,77.0885
100,38.4018,28.234,225.125,77.9072
101,38.3571,28.7791,237.3125,78.7212
102,38.0714,28.234,236.6406,79.5674
103,39.3304,29.0698,241.125,80.3089
104,38.8393,28.6701,244.6562,81.0416
105,38.5893,29.6512,230.0625,81.7731
106,38.4821,29.9419,210.5156,82.6023
107,39.2411,28.9608,269.625,83.3056
108,40.0625,28.0523,196.1562,84.1164
109,39.4732,28.0887,261.7969,84.8808
110,39.6696,28.452,278.6719,85.6436
111,39.2054,27.8706,235.1094,86.3743
112,39.2589,29.0334,252.2812,87.0441
113,40.3036,29.9419,251.4844,87.8056
114,40.1429,27.4709,235.2812,88.5802
115,39.9286,29.1788,252.0469,89.2516
116,40.0357,29.0698,265.875,90.0102
117,39.6161,28.8517,229.25,90.894
118,41.0446,29.2151,285.3594,91.8122
119,40.5536,29.3968,248.9062,92.7888
120,41.0179,29.8692,285.1406,93.439
121,40.5089,29.1424,231.8281,94.4032
122,40.5714,28.1977,261.625,95.2
123,41.1607,28.8154,265.7188,95.847
124,40.5,29.3968,245.9219,96.7009
125,41.2857,29.3968,251.8281,97.4329
126,41.0982,29.6148,268.8125,98.1512
127,41.0089,28.5974,242.5469,98.8855
128,40.5,28.8517,244.7656,99.7745
129,41.0357,29.0334,252.9688,100.6708
130,41.5982,30.3779,224.7344,101.4737
131,41.1161,30.0145,259.7344,102.498
132,41.5625,29.7238,252.3906,103.3223
133,41.4286,28.7791,230.4219,104.0654
134,41.7321,29.6512,255.5156,105.1546
135,41.7411,28.4884,255.25,106.0378
136,41.1786,29.7602,279.1406,106.9015
137,41.7321,28.0887,240.9531,107.7078
138,41.7054,28.9608,245.8594,108.4162
139,41.625,29.9782,213.1094,109.1852
140,42.3482,29.7965,250.4688,109.9538
141,41.9732,28.9244,259.6406,110.6476
142,42.1339,29.4695,262.0469,111.3564
143,41.6429,29.2515,239.4844,112.1341
144,41.4107,30.2326,210.3594,112.819
145,42.2411,30.2689,287.6406,113.5653
146,42.3839,29.8692,260.8125,114.5533
147,41.9196,29.7602,237.2031,115.2972
148,41.6964,28.9608,223.25,116.0191
149,42.5804,29.5785,249.75,116.7296
150,42.8482,29.7238,254.2656,117.458
151,42.2054,29.6148,243.5625,118.223
152,42.3036,28.5974,280.3594,118.9986
153,42.7054,29.6875,268.625,119.7749
154,41.75,29.2151,219.2344,120.5659
155,42.5982,28.3794,252.9531,121.3255
156,42.8036,28.9608,297.375,122.0468
157,43.1518,29.6875,241.875,122.7258
158,42.4464,28.9971,228.2188,123.7329
159,43.1875,30.1599,257.6094,124.4969
160,42.7679,30.0509,251.7188,125.294
161,43.0268,30.0872,235.8125,126.0026
162,43.4911,29.8328,196.9375,126.8004
163,42.4911,29.3241,261.8281,127.5387
164,43.4107,28.9608,238.5156,128.2831
165,42.9464,30.3416,294.25,128.9915
166,43.5446,29.0334,264.7188,129.8093
167,43.5268,29.7965,262.8594,130.6073
168,43.3929,29.9782,241.8594,131.4547
169,43.2054,28.1977,233.5312,132.4061
170,42.9375,29.7965,273.8594,133.2979
171,42.9286,29.1061,241.7344,134.3318
172,43.6071,29.4695,243.5781,135.4867
173,43.7768,29.4331,237.6562,136.4076
174,43.6696,29.3241,255.4844,137.2684
175,44.0714,27.8343,255.5625,137.9844
176,43.6429,28.016,260.75,139.2529
177,43.6161,29.4331,243.0156,139.9544
178,43.7946,30.0872,266.4844,141.2989
179,43.5446,29.6512,238.0312,142.1686
180,43.5089,28.8881,299.2188,142.9578
181,44.4196,28.8881,269.5156,143.6958
182,44.3661,28.9971,271.0781,144.3282
183,43.6429,29.1788,245.4688,144.9672
184,44.9375,28.6337,241.6406,145.6827
185,44.2946,29.7965,235.1719,146.3323
186,43.7768,28.343,235.3594,147.1445
187,44.8571,29.6148,240.9844,147.9338
188,43.6964,29.1788,267.0625,148.684
189,44.7411,28.9608,229.1562,149.5436
190,44.3929,28.3794,259.7031,150.3243
191,44.3214,28.6701,247.3281,150.9749
192,45.1518,28.9971,236.1406,151.7388
193,44.6964,28.4884,260.3906,152.6801
194,44.8125,29.5785,275.2344,153.4514
195,44.8125,29.7238,283.4062,154.1473
196,44.7589,29.3241,257.8438,154.9306
197,45.0268,30.3416,251.6875,155.7387
198,44.8929,29.2151,274.2969,156.5425
199,45.0804,29.3605,228.1406,157.4249
200,45.7679,28.7427,219.1719,158.1413
201,45.7589,29.4695,244.5156,158.866
202,45.3393,28.7427,226.8906,159.6694
203,45.5982,29.1424,246.2344,160.4156
204,45.3393,30.3052,265.5312,161.2224
205,45.3571,29.1424,234.9531,162.2041
206,45.5804,28.8881,280.4375,162.9647
207,45.2143,29.0334,231.6875,163.7482
208,45.4375,29.6512,239.4062,164.4093
209,45.7054,28.7791,260.1562,165.2564
210,45.2768,28.8881,228.8594,166.0037
