Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.8393,6.9767,482.5,0.5086
2,7.25,7.8488,375.7188,0.9986
3,7.6429,6.7224,394.9219,1.4739
4,8.9643,7.3765,323.2812,1.9462
5,9.2768,7.8125,322.9688,2.3964
6,9.9196,7.7035,321.5625,2.8649
7,10.4554,8.4302,277.8125,3.2932
8,10.9732,8.939,280.3594,3.7681
9,11.4018,9.2297,261.375,4.1925
10,12.4643,9.266,223.7188,4.6955
11,12.6696,9.7747,215.1875,5.0975
12,13.6964,10.5378,260.0312,5.5775
13,14.7411,11.2645,247.0938,6.0496
14,15.4107,11.7733,234.5938,6.4744
15,17.0714,13.9172,246.6875,6.9792
16,18.1518,14.9346,235.0156,7.4406
17,19.1429,15.9157,219.8906,7.9327
18,19.9732,15.2616,260.9531,8.3819
19,21.2143,15.9157,261.4531,8.8409
20,22.0625,16.8241,244.2812,9.3092
21,22.9911,17.3328,242.0781,9.8761
22,23.8036,17.9506,238.1719,10.3823
23,24.6071,17.8779,281.3125,10.8826
24,25.4732,19.1497,229.5469,11.4102
25,26.7143,19.7311,257.6562,11.8773
26,27.25,20.4215,233.3906,12.4353
27,28.4554,21.548,225.6406,12.8783
28,28.9196,21.3663,244.125,13.3727
29,29.4286,21.7297,234.5312,13.8702
30,30.3482,22.1657,231.0781,14.3487
31,31.0804,22.4201,233.5312,14.8997
32,31.6071,23.0378,265.6562,15.3596
33,32.4375,22.8561,246.3594,15.7808
34,32.7589,22.4564,237.4531,16.2629
35,33.2143,22.7834,247.3281,16.7328
36,33.5179,23.2195,224.9062,17.2057
37,33.9018,23.4012,221.2031,17.6635
38,33.9196,23.2558,237.4062,18.204
39,35.5,23.2922,231.7969,18.6644
40,35.5536,23.7645,213.4219,19.1397
41,35.7946,23.3648,239.9531,19.6087
42,35.7232,24.0189,220.3594,20.0934
43,36.6071,22.8561,219.4375,20.5726
44,37.375,23.8372,242.6094,21.0463
45,37.0179,24.4913,229.5781,21.4341
46,37.5357,23.5102,251.8125,21.9082
47,37.2768,24.2006,246.2969,22.4148
48,37.9286,24.5276,222.4688,22.8984
49,38.875,24.9637,254.5312,23.4185
50,38.4911,23.9099,207.9219,23.8671
51,39.2143,24.1279,217.4531,24.3044
