Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.8661,6.6429,679.75,3.2298
2,8.3214,8.5,330.375,6.8447
3,13.3661,17.8571,365.25,10.1102
4,24.9286,25.9286,209.625,13.4694
5,32.9375,31.25,257.75,16.8754
6,39.2232,33.6786,280.25,19.9707
7,45.1875,37.3571,218.8125,23.2658
8,50.5625,38.6429,252.5625,26.5913
9,56.1429,40.7857,245.75,29.8543
10,60.6429,40.8571,217.5,32.8767
11,65.5536,41.2143,207.25,36.1397
12,68.9464,42.2143,268.8125,39.5512
13,73.3125,42.0357,169.4375,42.9809
14,76.4821,41.1071,207.0625,46.5456
15,80.2411,40.6071,163.5,49.7301
16,83.6518,40.8929,190.0625,53.0644
17,86.9375,40.0357,154.0625,56.6576
18,89.9286,39.6786,212.25,59.8531
19,92.1161,39.6786,235.75,62.9714
20,94.1161,40.6786,252.4375,66.4418
21,95.3929,39.8929,232.5625,69.9817
22,96.625,39.2857,169.4375,73.4278
23,97.7054,39.1071,167.875,76.8615
24,98.0714,39.3929,206.0625,79.9213
25,98.2054,38.3214,238.5,83.2353
26,98.1518,38.6429,241.1875,86.5038
27,98.2321,38.7143,241.4375,89.9825
28,98.5089,39.0714,221.9375,93.3478
29,98.25,39.1429,231.3125,96.5783
30,99.0536,38.4286,250.25,99.9423
31,99.2411,38.3214,185.4375,103.5248
32,96.9464,38.1786,234.0,106.9996
33,97.6964,38.6786,241.5,110.0199
34,99.4911,39.1071,223.8125,113.4123
35,99.8482,38.8929,273.5,117.0443
36,99.8839,39.0714,279.75,120.1644
37,94.9018,36.8214,182.1875,123.6256
38,96.5179,38.6071,290.25,126.8874
39,99.375,38.8214,251.25,130.2652
40,99.9554,38.0357,290.25,133.5924
41,100.0,38.75,301.4375,136.7866
42,100.0,38.8571,279.9375,139.8901
43,100.0,38.5714,284.875,143.2845
44,100.0,38.4643,257.625,146.6854
45,100.0,38.8214,279.4375,149.9324
46,100.0,38.3929,243.0,153.188
47,100.0,38.9286,235.375,156.5017
48,87.7054,38.4643,252.0,159.8747
49,96.9821,37.8929,198.0625,163.3415
50,99.5893,38.1786,255.25,166.8469
