Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.875,6.0357,614.75,11.0498
2,6.7054,7.1786,471.625,23.5609
3,9.3571,13.0357,500.9375,33.0988
4,18.125,20.7143,381.4375,39.692
5,24.9018,25.4286,383.4375,46.4792
6,29.2143,27.0714,307.0625,53.6535
7,33.5,30.2143,230.375,63.7676
8,38.2589,32.75,290.25,74.021
9,42.3929,31.1786,422.3125,82.6314
10,46.1339,33.7143,336.375,92.6456
11,50.625,33.5,389.875,102.0969
12,53.5804,33.5357,427.75,111.3215
13,58.0714,33.4286,348.625,120.4332
14,61.7857,34.8571,476.25,130.4862
15,65.7946,33.9286,445.125,139.6514
16,69.8661,34.4643,440.1875,149.6374
17,73.9732,34.0357,280.25,160.9903
18,77.6429,33.3214,378.125,171.323
19,80.7321,33.75,412.1875,180.6615
20,84.2589,33.9286,200.375,191.1053
21,86.8571,34.0714,504.875,202.1991
22,89.7232,33.2857,312.25,211.5481
23,91.8214,32.8214,328.8125,217.5924
24,93.4821,32.25,303.0,223.961
25,93.6607,33.0357,453.625,230.6225
26,95.4107,32.1429,354.3125,238.3371
27,95.4554,32.25,337.8125,247.574
28,96.9911,31.5357,338.6875,256.0296
29,97.0089,32.1786,327.1875,265.4
30,96.5625,31.6786,286.6875,274.1507
31,95.0,31.5357,531.6875,283.2836
32,96.5804,32.0357,357.75,290.7334
33,98.5536,32.6429,344.375,299.7944
34,99.0,31.7857,403.625,308.213
35,94.0625,31.3929,364.6875,316.5238
36,95.9911,32.0357,307.125,325.7252
37,97.8304,32.2857,432.9375,332.22
38,98.8571,32.0357,401.0,340.7923
39,97.9375,32.1786,279.8125,348.4982
40,94.625,32.3929,397.375,356.2069
41,97.1071,32.4643,318.75,364.7293
42,98.3929,32.5357,282.5,373.6452
43,98.2232,32.6071,380.9375,382.7716
44,98.0536,32.1429,320.5625,390.8943
45,95.3214,32.6429,283.125,399.0265
46,96.9464,32.5,379.0625,407.7806
47,97.9196,31.5,328.5,416.5039
48,98.1964,31.1786,469.75,425.9256
49,96.9196,31.6429,475.1875,432.4199
50,98.0625,32.4643,400.125,438.2568
51,98.0714,31.9286,354.625,444.1372
52,97.2143,31.75,349.875,450.0389
53,96.8482,32.0357,265.5625,455.754
54,97.3393,32.0357,323.125,461.3893
55,97.875,31.4286,358.4375,466.8771
56,97.5536,31.3214,333.125,472.4068
57,98.3125,32.1429,423.1875,478.0507
58,97.125,32.3214,290.125,483.6625
59,97.5625,32.1071,357.75,489.9806
60,98.5536,32.1786,308.5625,496.0287
61,97.9821,33.1071,362.9375,501.7189
62,97.375,31.0714,402.3125,508.0119
63,97.0179,31.3214,286.75,514.2474
64,97.0268,32.7143,446.375,520.6695
65,97.9732,33.1786,219.75,526.6583
66,98.8304,31.75,372.375,532.2692
67,97.5179,31.4286,299.125,538.5462
68,96.8929,31.8929,328.125,544.139
69,97.4643,31.6429,543.3125,550.0731
70,97.9286,31.7857,391.9375,556.5748
71,98.4554,33.2143,307.75,562.4767
72,97.4196,31.6071,354.375,568.7687
73,97.1786,30.2857,277.875,574.9091
74,97.4554,31.1071,374.3125,580.6363
75,98.8214,32.0714,445.875,588.9848
76,98.7143,30.9643,258.0625,596.1522
77,96.2857,31.75,432.5,602.0388
78,97.4464,31.5,351.9375,608.0184
79,97.9107,31.2143,309.9375,613.9053
80,98.3214,31.5,317.1875,619.8247
81,96.9911,31.1071,466.9375,625.348
82,96.8393,31.7143,409.6875,631.2258
83,98.5179,32.4643,301.1875,637.6232
84,99.2679,32.0,497.4375,643.4161
85,96.8839,32.5714,401.4375,649.3219
86,96.7143,30.7143,375.3125,655.2076
87,97.8929,31.0714,385.375,660.9867
88,98.4821,31.6786,427.1875,666.9139
89,98.9732,31.0714,409.8125,672.6787
90,96.1607,30.5357,285.4375,678.5603
91,97.2232,30.8571,356.875,684.313
92,98.3661,31.2857,307.375,690.1179
93,99.0982,31.8929,485.8125,695.6966
94,99.0893,31.3571,320.25,701.2756
95,95.25,32.1071,339.6875,707.5395
96,96.8929,32.0357,464.25,713.174
97,98.6607,31.6786,361.3125,719.3344
98,97.9643,31.1786,487.125,725.1752
99,98.1607,32.8214,318.375,730.659
100,97.5714,31.3571,366.8125,736.756
