Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.9821,6.5733,517.25,0.7301
2,6.8839,6.7529,589.3125,1.3859
3,7.2143,6.9325,449.8125,2.1146
4,8.5179,7.1839,377.1562,2.7915
5,10.3036,8.6925,344.625,3.4815
6,11.6518,10.5244,451.4375,4.1853
7,13.5446,12.7514,324.5938,4.91
8,16.6964,15.4813,302.0,5.5983
9,21.3661,20.4741,311.3438,6.3096
10,25.7232,23.0244,245.9062,7.0613
11,30.5982,26.6882,281.6875,7.7073
12,33.8571,28.6638,251.75,8.3671
13,37.4196,29.3822,228.125,9.0415
14,40.75,32.0761,253.4375,9.7559
15,44.0804,32.6868,210.9375,10.4998
16,46.7054,33.8003,256.9375,11.2148
17,49.5446,35.7759,218.0938,11.9713
18,51.7143,35.5603,210.7188,12.695
19,54.6875,38.5057,207.8438,13.4388
20,56.7768,38.1825,254.7812,14.149
21,59.6161,39.4037,235.5312,14.9248
22,61.9286,38.6135,212.125,15.6592
23,64.0089,38.8649,239.2812,16.3194
24,66.1429,39.8348,244.6875,17.0025
25,68.3571,39.9784,203.3125,17.6982
26,70.0179,39.7989,225.9375,18.4024
27,71.8393,40.0503,236.8125,19.1608
28,74.2589,39.1164,211.9688,19.9614
29,75.9107,39.7989,273.4375,20.6311
30,77.7143,38.829,224.4375,21.3138
31,79.4107,40.194,225.2188,22.1113
32,81.2411,39.0086,228.5312,22.8295
33,82.375,38.829,240.8125,23.5769
34,84.3661,38.9727,245.0,24.2936
35,85.5714,39.6552,267.625,24.9822
36,86.9554,38.9009,259.8438,25.7269
37,88.0714,38.7213,240.2812,26.4619
38,89.0446,39.1882,237.5625,27.2322
39,90.1964,38.0747,290.0312,27.868
40,91.25,38.7931,284.0938,28.5192
41,92.2143,38.4698,197.2812,29.2511
42,92.6161,38.3261,203.5,29.9433
43,93.8393,38.5417,211.0938,30.6144
44,95.0089,37.7155,231.875,31.3687
45,94.9286,37.3204,263.125,32.0712
46,95.2768,37.967,217.25,32.7809
47,95.5446,37.967,223.0312,33.5839
48,95.8661,38.1825,211.4688,34.37
49,95.6964,36.8175,204.75,35.0601
50,97.2054,37.5,282.2812,35.7364
51,97.0357,35.9914,291.7188,36.4656
52,97.0804,37.2126,276.5625,37.2056
53,97.7589,37.5359,253.2812,37.9057
54,96.4821,36.7457,264.9688,38.6141
55,96.9107,38.0029,257.4688,39.3389
56,98.5179,38.2902,290.2812,40.02
57,99.2321,36.6379,273.4062,40.7052
58,97.9464,36.9612,225.4062,41.4101
59,96.1964,36.8894,223.6875,42.1421
60,97.8571,37.2486,243.0938,42.8559
61,99.3393,36.8894,245.125,43.5816
62,99.8393,37.4641,213.7812,44.2875
63,99.9286,37.069,266.6562,44.9449
64,99.9821,36.7457,249.0312,45.628
65,98.6339,35.3448,288.75,46.3756
66,89.8125,35.3807,265.0,47.1692
67,97.5446,36.6379,255.0625,47.8527
68,99.75,37.033,250.8125,48.5569
69,99.9732,37.4641,267.5938,49.2789
70,99.9018,37.069,327.75,49.9724
71,99.9911,36.602,260.8125,50.7189
72,100.0,36.7816,240.6562,51.4508
73,100.0,36.7098,293.4062,52.1464
74,99.9911,36.6739,292.0312,52.8963
75,99.5714,34.9497,259.7188,53.5865
76,86.7232,37.1049,220.0625,54.2719
77,96.8393,36.602,253.3125,55.0921
78,99.7768,37.1049,267.7812,55.7805
79,100.0,37.033,246.125,56.4478
80,100.0,36.9253,260.0312,57.1955
81,100.0,36.7098,260.5,57.9463
82,100.0,36.8894,253.0625,58.7502
83,100.0,36.7457,247.5625,59.5216
84,100.0,36.9253,258.2188,60.2483
85,100.0,36.7098,255.3125,60.9865
86,100.0,36.6739,258.2812,61.7613
87,100.0,36.6739,321.8125,62.4875
88,100.0,36.9971,300.3438,63.184
89,100.0,36.8175,245.0938,63.8777
90,100.0,36.4943,279.7812,64.6746
91,98.7857,33.2974,303.4062,65.4416
92,84.3929,37.4641,327.9375,66.1506
93,97.2321,37.1767,278.4375,66.8252
94,99.5357,36.7457,305.2812,67.5066
95,99.9732,37.3204,287.4688,68.3034
96,100.0,37.069,252.7812,69.0389
97,100.0,36.8534,215.0,69.7705
98,100.0,37.033,321.25,70.4806
99,100.0,36.7816,260.7812,71.1624
100,100.0,37.1408,263.875,71.8247
101,100.0,37.1408,289.0625,72.5187
102,100.0,37.033,243.2188,73.1728
103,100.0,37.3204,205.0312,73.9259
104,100.0,36.9612,266.0625,74.6059
105,100.0,36.9612,287.9375,75.3446
106,100.0,37.033,271.4375,76.0421
107,100.0,36.9971,266.4688,76.7436
108,95.4286,34.375,233.7812,77.4166
109,87.1786,36.602,231.8125,78.1648
110,97.5,36.7098,273.4688,78.8999
111,99.5357,36.6379,317.5312,79.6797
112,100.0,36.9971,237.8125,80.4286
113,100.0,36.9971,225.6875,81.1206
114,100.0,37.1049,276.1875,81.7821
115,100.0,37.1767,291.5625,82.5233
116,100.0,37.2126,217.8125,83.2757
117,100.0,37.2845,238.4375,84.0336
118,100.0,37.3204,248.5,84.7888
119,100.0,37.033,254.6875,85.4646
120,100.0,37.3204,220.375,86.1835
121,100.0,37.1408,302.5625,86.8862
122,100.0,37.033,288.4062,87.6453
123,100.0,36.9612,289.4688,88.3803
124,100.0,37.3204,277.4062,89.1349
