Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.9196,6.717,564.8438,0.8187
2,6.9821,6.0704,572.4062,1.6017
3,8.0,7.6509,467.4062,2.4337
4,8.9286,8.3693,443.0312,3.3228
5,10.4286,9.7342,348.5312,4.1414
6,12.0536,9.6624,338.1562,5.0308
7,14.8571,14.5833,300.75,5.9649
8,18.9643,20.3664,313.4062,6.9148
9,24.5,24.569,227.9688,7.7566
10,29.8571,28.125,209.6562,8.5701
11,33.5357,29.7414,325.5938,9.4599
12,36.3036,31.2141,290.1562,10.2831
13,38.8393,32.0043,316.5625,11.1203
14,41.3125,33.0819,266.125,11.9484
15,43.6696,35.4885,278.7188,12.7713
16,46.5893,36.171,277.5,13.6442
17,48.5982,37.6437,242.9062,14.4596
18,51.0982,38.7931,317.0938,15.306
19,53.9375,40.2299,229.5,16.1043
20,55.6161,40.3736,287.9688,16.9321
21,57.7768,42.3132,294.3125,17.7562
22,59.8125,41.1638,298.0312,18.5998
23,61.0357,41.7385,289.7188,19.4448
24,62.6429,42.5647,255.9375,20.2786
25,64.4018,43.5704,277.875,21.1639
26,65.4375,42.7083,251.8125,22.1752
27,67.1518,43.6422,220.5312,22.9827
28,67.9464,43.4626,289.625,23.8241
29,69.3125,43.1394,228.0625,24.6196
30,69.9911,43.4626,308.6875,25.4134
31,71.6875,43.283,262.5625,26.2228
32,72.7411,42.1695,307.25,27.0621
33,73.0446,43.3908,212.0,27.8189
34,74.1696,43.5704,317.875,28.7517
35,75.1161,43.7141,242.2188,29.7775
36,75.5714,43.8218,202.8125,30.5995
37,76.5893,43.1034,261.5312,31.4498
38,76.8571,42.852,221.5938,32.4041
39,77.2768,42.7802,244.1875,33.2023
40,78.4732,42.1695,250.75,34.0207
41,78.875,42.3491,259.9688,34.8552
42,79.7143,42.421,247.625,35.761
43,80.5357,42.3851,273.9062,36.6289
44,80.5,42.4928,213.7812,37.4908
45,81.8661,42.6006,262.1875,38.6163
46,81.7054,42.4928,254.1562,39.4852
47,81.8393,42.0977,293.5312,40.668
48,82.3929,42.2055,273.0938,41.565
49,82.6964,42.4569,310.9062,42.4136
50,83.3214,42.0977,315.7812,43.3402
51,83.3214,42.7802,259.1875,44.1894
52,83.2054,43.1034,263.5312,45.0472
53,84.7768,43.1034,301.25,45.8651
54,84.7143,42.7083,266.1875,46.796
55,84.9375,43.0316,307.4375,47.9721
