Epoch,Train_Accuracy,Test_Accuracy,Mean_Path_Cost,Elapsed_Time
1,6.9464,6.032,655.5625,0.5112
2,7.2857,7.4128,528.4219,0.9477
3,7.6696,6.3953,551.9375,1.4683
4,8.0179,7.0494,358.4844,1.9802
5,8.6339,7.3765,344.4844,2.442
6,9.4107,7.0131,358.5781,3.0398
7,10.0357,7.4128,319.2656,3.499
8,10.7143,7.7762,302.9219,4.0438
9,11.2054,8.9753,335.3281,4.5482
10,11.7589,9.6657,254.6094,5.0503
11,12.0893,8.3212,314.2344,5.517
12,13.25,10.2834,275.2812,6.0097
13,12.8482,9.3023,328.3281,6.4835
14,13.7411,9.811,245.9844,6.9358
15,14.5982,11.8096,299.2812,7.5101
16,15.6161,11.1192,300.0469,7.942
17,15.9286,12.2456,283.6719,8.4682
18,16.6071,13.1904,232.5938,8.9153
19,17.4286,13.8081,278.4688,9.4122
20,18.7679,14.6802,314.7031,9.9002
21,18.9911,14.6076,260.4062,10.3782
22,20.2589,14.7892,245.5312,10.839
23,20.2857,15.0799,262.375,11.2092
24,21.5804,16.3517,271.3594,11.7678
25,22.5446,17.4055,258.625,12.182
26,22.8036,16.6788,266.0938,12.6458
27,23.5804,16.3154,241.2812,13.0648
28,23.7946,18.859,258.4844,13.5758
29,23.8839,19.0044,274.8438,14.0621
30,24.7768,18.314,228.5469,14.4573
31,25.4911,19.2951,252.1406,14.9715
32,26.0357,19.9128,263.8438,15.4559
33,26.7857,19.6948,248.0469,15.9454
34,26.7768,20.0945,259.6406,16.4335
35,27.4554,20.6395,267.9062,16.8975
36,27.6607,20.5669,230.2344,17.3336
37,27.3393,20.6032,246.75,17.7984
38,27.9286,20.2398,251.0625,18.2807
39,28.8304,21.3299,240.2344,18.7141
40,29.0,22.0567,213.9219,19.1599
41,29.6964,22.4201,231.6562,19.6592
42,29.4732,22.7108,258.6406,20.1643
43,29.1696,22.8198,237.1406,20.6805
44,30.0357,22.6381,275.6719,21.1537
45,30.625,23.2922,222.9375,21.6431
46,30.8839,22.6381,262.7031,22.097
47,30.8571,23.5465,272.2969,22.5981
48,31.0446,23.2558,289.4688,23.0303
49,30.8571,23.4375,266.7812,23.4866
50,31.1964,23.0741,281.0156,23.9444
51,31.8393,24.2006,214.4844,24.3851
52,31.9018,23.4738,266.7969,24.9125
53,32.2589,24.1642,266.9688,25.4702
54,31.8661,24.4186,226.7344,25.9263
55,32.5268,24.4186,233.7969,26.4822
56,32.7232,25.218,229.0469,26.9097
57,32.5357,24.7093,234.1406,27.372
58,33.25,24.2733,219.8594,27.8229
59,33.4911,23.2558,238.6094,28.3272
60,33.2321,25.4724,283.0312,28.8391
61,33.375,26.4535,298.9844,29.2215
62,34.2768,24.6366,241.8438,29.6429
63,33.7946,26.1991,233.2188,30.0758
64,34.1161,24.9273,242.75,30.5038
65,34.9821,25.9084,248.6406,30.9757
66,34.2946,25.2907,230.625,31.4795
67,34.8393,25.5451,241.7031,31.9884
68,34.4196,25.6541,260.1875,32.4515
69,35.4911,25.5087,247.3906,32.963
70,35.1696,25.3634,262.7656,33.3777
71,35.2143,26.2718,210.2344,33.9028
72,35.0268,25.2907,280.7031,34.4808
73,35.6518,26.3081,257.4844,34.9429
74,34.9643,26.1991,237.0938,35.4308
75,35.2411,26.2718,231.4531,35.9545
76,36.4018,25.9811,215.0,36.4672
77,35.7321,26.3445,283.9844,36.9627
78,36.1161,27.3256,226.75,37.3687
79,36.5536,25.6541,225.9062,37.9299
80,36.6518,26.0174,246.3281,38.4009
81,36.4643,26.4172,258.2812,38.8524
82,36.5804,26.3445,265.5625,39.4564
83,36.5536,27.0712,267.9531,39.9987
84,36.4286,25.5087,272.4844,40.5713
85,36.6786,26.3081,249.2344,41.0567
86,36.8214,26.4535,253.9531,41.6328
87,37.3214,27.1802,274.9219,42.077
88,36.9732,27.3983,263.9531,42.5867
89,37.3036,26.1991,278.2188,43.0646
90,38.1161,26.8532,252.3281,43.4851
91,37.9286,27.2166,239.1406,43.9556
92,37.7946,26.7805,260.2812,44.4144
93,37.2589,25.9448,281.6094,44.8768
94,37.9196,26.7078,229.7188,45.3344
95,37.4375,26.5988,267.1875,45.8576
96,37.9375,25.6177,264.7656,46.3331
97,38.0536,27.3256,229.7656,46.7781
98,37.7054,27.1439,218.625,47.2564
99,38.3661,27.1802,269.7969,47.7211
100,38.4821,26.8895,242.6875,48.22
101,38.4196,28.1977,265.1875,48.6994
102,37.7857,25.9811,278.1094,49.1615
103,38.0179,26.2718,245.2812,49.6296
104,39.0893,26.7805,219.5625,50.0802
105,38.5804,26.4172,214.7812,50.5619
106,38.5714,26.1991,241.9062,51.0351
107,38.7946,27.2529,270.9062,51.5095
108,38.9464,26.3081,257.7031,51.9883
109,39.25,26.6352,254.6562,52.4319
110,38.6429,26.9622,254.8438,52.8854
111,39.2054,26.6352,260.25,53.3691
112,39.1696,26.5262,241.1875,53.8164
113,39.3482,26.7805,283.8594,54.2966
114,38.8571,27.2166,256.7188,54.7744
115,39.4464,26.9259,286.7031,55.2249
116,39.3304,26.4172,235.6406,55.7478
117,39.0804,27.2529,218.8281,56.1947
118,39.3393,27.2892,245.0625,56.6473
119,39.4107,26.8895,292.5781,57.2035
120,39.9375,26.5988,241.5625,57.6462
121,39.4375,25.8358,267.2656,58.0325
